,2m Air Temperature,Relative Humidity,GHI,DNI,DHI,IR(h),10m Wind speed,10m wind direction,Air pressure,Month,Day,Declination,Hour angle,Rb_front,Rb_rear,DOY,Solar Zenith angle,G_Front,Total_G
2030-05-01 00:00:00,13.66,75.41,0.0,0.0,0.0,324.41,4.41,327.0,100214.0,5.0,1.0,14.90088745587464,-180.0,0.0,1.0,121,126.32331254412537,,
2030-05-01 00:15:00,13.600945331931712,75.7325207109147,0.00021593663316611883,0.0,0.0005211669232353698,323.91990974749126,4.354062162114032,327.68098791875394,100207.12411907763,5.0,1.0,14.90088745587464,-210.33116907963216,0.0,1.0,121,119.28921377542099,,
2030-05-01 00:30:00,13.540854401662887,76.05505032832926,0.0,0.0,0.0,323.42981714702444,4.299165742651292,328.1113657671103,100202.30102171504,5.0,1.0,14.90088745587464,-203.3831175456858,0.0,1.0,121,122.03699007400598,,
2030-05-01 00:45:00,13.48033627056262,76.37755478157919,0.0,0.0,0.0,322.9398159730455,4.244686451862906,328.48606073191155,100198.32741349493,5.0,1.0,14.90088745587464,-180.9935072388965,0.0,1.0,121,126.3152586258318,,
2030-05-01 01:00:00,13.42,76.7,0.0,0.0,0.0,322.45,4.19,329.0,100194.0,5.0,1.0,14.90088745587464,-165.0,0.0,1.0,121,124.51834211884292,,
2030-05-01 01:15:00,13.359845589975025,77.0223859835917,0.0034363409658248185,0.035073317075963964,0.0026831703420567986,321.9603692278881,4.1351063870625735,329.65318357137573,100189.31878123025,5.0,1.0,14.90088745587464,-155.40259582899625,0.0,1.0,121,121.59926607081611,,
2030-05-01 01:30:00,13.299873040487693,77.34471273235431,0.008898001521596994,0.08840696235793316,0.00704848571478473,321.47092365670983,4.080005613050627,330.44561144603864,100184.28375718568,5.0,1.0,14.90088745587464,-152.2012947258853,0.0,1.0,121,120.35750321465285,,
2030-05-01 01:45:00,13.239963970756518,77.66718311493973,0.009910661316570674,0.09753712646093576,0.007889558230120296,320.98101625717663,4.024902032513367,331.5152335976822,100179.1068545483,5.0,1.0,14.90088745587464,-151.6493462598317,0.0,1.0,121,120.13097073866864,,
2030-05-01 02:00:00,13.18,77.99,0.0,0.0,0.0,320.49,3.97,333.0,100174.0,5.0,1.0,14.90088745587464,-150.0,0.0,1.0,121,119.4330648188086,,
2030-05-01 02:15:00,13.119981128218148,78.31316338753504,0.0,0.0,0.0,319.99787488518007,3.9152995155105264,334.89991065299193,100168.9631935409,5.0,1.0,14.90088745587464,-147.25325594639023,0.0,1.0,121,118.20353897461108,,
2030-05-01 02:30:00,13.059907355410957,78.6366732775449,0.0,0.0,0.0,319.5046409127167,3.8608005790449456,337.21496555665806,100163.9964351709,5.0,1.0,14.90088745587464,-143.40911409900238,0.0,1.0,121,116.3502911406385,,
2030-05-01 02:45:00,12.999879904898288,78.95934652878232,0.0,0.0,0.0,319.011586483895,3.8059013530568926,339.6725376819951,100161.53145921548,5.0,1.0,14.90088745587464,-139.11041520211333,0.0,1.0,121,114.11027080687597,,
2030-05-01 03:00:00,12.94,79.28,0.0,0.0,0.0,318.52,3.75,342.0,100164.0,5.0,1.0,14.90088745587464,-135.0,0.0,1.0,121,111.81922452411513,,
2030-05-01 03:15:00,12.880267640716095,79.59863369119799,0.12156755360286535,1.1901531850732807,0.09703796351140014,318.02988146103166,3.693096519874269,344.1973525106728,100171.40205752451,5.0,1.0,14.90088745587464,-131.0778684926624,0.0,1.0,121,109.51131260781014,,
2030-05-01 03:30:00,12.820682827046575,79.91524760237624,0.30664971428504945,3.002049785324186,0.24477756646486434,317.5412308669901,3.6351909126796995,346.2645952140133,100183.73763178897,5.0,1.0,14.90088745587464,-127.34402068010047,0.0,1.0,121,107.21502046556864,,
2030-05-01 03:45:00,12.760756599853766,80.23673771236639,0.3384070178247088,3.3129214929129986,0.27012838618589635,317.05196483945343,3.57718984914528,348.1995403103472,100196.20439015895,5.0,1.0,14.90088745587464,-123.68816252748833,0.0,1.0,121,104.88249283163671,,
2030-05-01 04:00:00,12.7,80.57,0.0,0.0,0.0,316.56,3.52,350.0,100204.0,5.0,1.0,14.90088745587464,-120.0,0.0,1.0,121,102.45354500088061,,
2030-05-01 04:15:00,12.638413027485278,80.91503446527707,0.0,0.0,0.0,316.0653363486299,3.46362136524386,351.6659742829718,100207.12446131212,5.0,1.0,14.90088745587464,-116.2795330976355,0.0,1.0,121,99.934213047344,,
2030-05-01 04:30:00,12.575995682309598,81.27184110819763,0.0,0.0,0.0,315.567973885343,3.408053944876859,353.1974631592624,100205.57777409529,5.0,1.0,14.90088745587464,-112.5267618203948,0.0,1.0,121,97.33025538635648,,
2030-05-01 04:45:00,12.515580495979119,81.6002271970194,0.0,0.0,0.0,315.0766244793847,3.3534595520714285,354.63022045592186,100203.24219983083,5.0,1.0,14.90088745587464,-108.76060963295672,0.0,1.0,121,94.66070875025667,,
2030-05-01 05:00:00,12.46,81.86,0.0,0.0,0.0,314.6,3.3,356.0,100204.0,5.0,1.0,14.90088745587464,-105.0,0.0,1.0,121,91.94531202073915,,
2030-05-01 05:15:00,12.40925419437224,82.05115951713952,4.129860481531598,40.430134975415584,3.2966075890455486,314.1381004471892,3.2476752886625726,357.3068017914968,100207.85117460282,5.0,1.0,14.90088745587464,-101.24493292152468,0.0,1.0,121,89.19026288855893,,
2030-05-01 05:30:00,12.363343079095838,82.17370574843792,10.417192284170085,101.98128573866438,8.315388774090604,313.69092582095203,3.196485418059147,358.5506258304124,100214.79572363927,5.0,1.0,14.90088745587464,-97.49540839753074,0.0,1.0,121,86.40127324396606,,
2030-05-01 05:45:00,12.305760424271519,82.46189910551738,23.245927944723533,174.116793632581,15.676475572090357,313.20828828423885,3.1420528384261477,359.51913695412173,100223.84241085609,5.0,1.0,14.90088745587464,-93.74817967477142,0.0,0.41238080239238234,121,83.58118978887579,,
2030-05-01 06:00:00,12.22,83.15,47.0,246.3,26.0,312.64,3.08,360.0,100234.0,5.0,1.0,14.90088745587464,-90.0,0.10514949002840149,0.0,121,80.73243678041483,,
2030-05-01 06:15:00,12.106061806281287,84.23800843188585,81.67940844999951,318.5309048409214,39.28596205781953,311.9860609682353,3.0103269027807045,359.99321496804714,100245.268491071,5.0,1.0,14.90088745587464,-86.25086937321645,0.38032772592926034,0.0,121,77.85962610420249,,
2030-05-01 06:30:00,11.963945843115376,85.7259244011749,127.28415329472203,390.8095081553451,55.534361745548956,311.2464711889447,2.9330335467682604,359.4987818582631,100257.6478840691,5.0,1.0,14.90088745587464,-82.50078779442076,0.5504990318105322,0.0,121,74.96722969017208,,
2030-05-01 06:45:00,11.889856958391777,86.24837816987649,178.74682149208357,459.7208573920963,71.5155805605039,310.7136458151819,2.8742234173716863,358.7549578193476,100270.45333503265,5.0,1.0,14.90088745587464,-78.75031231841471,0.665702395799652,0.0,121,72.06008753049186,,
2030-05-01 07:00:00,11.98,84.44,231.0,521.85,84.0,310.68,2.86,358.0,100283.0,5.0,1.0,14.90088745587464,-75.0,0.7485382411872795,0.0,121,69.14306090182583,,
2030-05-01 07:15:00,12.234374967940052,80.30078989154543,284.0436888184714,577.1969359790564,92.98762006403723,311.14553374339914,2.890363294653201,357.23390840022057,100295.28787897121,5.0,1.0,14.90088745587464,-71.24985083917666,0.8107140087881322,0.0,121,66.22068138340688,,
2030-05-01 07:30:00,12.652981862211925,73.83074784451279,337.87788794749787,625.7616653292654,98.47844075261561,312.1102470453793,2.9653133013312907,356.4566830200091,100307.31697194625,5.0,1.0,14.90088745587464,-67.49986483594463,0.8588925124653687,0.0,121,63.297681468404306,,
2030-05-01 07:45:00,13.100097825377837,67.04283187522374,388.77314310277535,657.8555620148417,105.9800410648862,313.0898368246698,3.0476066573437346,355.45111612979315,100317.18757894814,5.0,1.0,14.90088745587464,-63.74994641474031,0.8971439815838105,0.0,121,60.37903984718224,,
2030-05-01 08:00:00,13.44,61.95,433.0,663.79,121.0,313.6,3.1,354.0,100323.0,5.0,1.0,14.90088745587464,-60.0,0.9280929930378625,0.0,121,57.470200355023046,,
2030-05-01 08:15:00,13.672688386078413,58.552252218841566,470.558458639172,643.5649792847403,143.53831755795704,313.64073657137,3.1224933293000863,352.1033346306299,100324.7542351018,5.0,1.0,14.90088745587464,-56.25002559172373,0.9535059781826644,0.0,121,54.57732268325511,,
2030-05-01 08:30:00,13.798162983613075,56.84958853174842,501.4485190202912,597.1804998690626,173.59499373875735,313.21204653877953,3.115086645243994,349.7611200216826,100322.45028425356,5.0,1.0,14.90088745587464,-52.50002318991149,0.9746146945429519,0.0,121,51.70742710795156,,
2030-05-01 08:45:00,13.889556089341202,55.99713057878106,528.1143198912647,542.0857705188536,206.35417305017896,313.5773332367994,3.082636638565905,347.288345401894,100320.42119127852,5.0,1.0,14.90088745587464,-48.75000919314351,0.9923029803363838,0.0,121,48.86868366219009,,
2030-05-01 09:00:00,14.02,55.15,553.0,495.73,237.0,316.0,3.03,345.0,100323.0,5.0,1.0,14.90088745587464,-45.0,1.0,0.0,121,46.07075151147812,,
2030-05-01 09:15:00,14.189494715589468,54.30819679540522,576.1055593464969,458.1131883125017,265.5324745882205,320.48004682838126,2.95717672954628,342.89608381600056,100330.186710418,5.0,1.0,14.90088745587464,-41.24999561048105,1.0,0.0,121,43.325216810239695,,
2030-05-01 09:30:00,14.39804023610961,53.47172096499674,597.4309979307554,429.2353354563586,291.9515968148404,327.0174737219433,2.864166827204744,340.9765968498956,100341.98132253246,5.0,1.0,14.90088745587464,-37.49999602458661,1.0,0.0,121,40.64617818532881,,
